text,label_name,label,verdict_norm
How many who have no other morbidities under the age of 60 have died from this Covid-19? 350,misinformation,0,misinformation
Luke's Hospital of America has said that the use of alcohol can reduce the risk of corona virus.,misinformation,0,misinformation
"Coronavirus vaccine is ready, able to cure a patient within 3 hours",misinformation,0,misinformation
"""Coronavirus is already in the hospital. Bhayangkara Indramayu""",misinformation,0,misinformation
How to treat COVID-19 Recommended by the Dean of Siriraj Hospital?,misinformation,0,misinformation
"Fake coronavirus claims are all over the internet. Below we correct a few claims about the virus origin, diagnosis, prevention and cures.",misinformation,0,misinformation
No new patient infected with COVID-19 in China has died. And the patient stays at home without going to the doctor?,misinformation,0,misinformation
"Thai doctors use a combination drug to ""cure"" a patient with coronavirus in 48 hours.",misinformation,0,misinformation
JJ Hospital in Mumbai is giving Covid-19 vaccine to everybody above the age of 45,misinformation,0,misinformation
The Covid vaccine is now open to the general public from the age of 19-59. Free at 11 hospitals in Bangkok in March 2021,misinformation,0,misinformation
Covid-19 vaccines are responsible for increased mortality,misinformation,0,misinformation
"Despite the high safety standards, some people worry about possible side effects when they start vaccinating against Covid-19. Reports are currently spreading on social media that allegedly prove side effects or even vaccine damage. A Facebook video (archived here) shows a man in a light blue T-shirt who is apparently lying in a hospital bed and is convulsing. ""A 33-year-old male nurse who is in excellent health and who has opted for the corona vaccination (RNA gene injection) develops a severe reaction,"" says the description of the video.",misinformation,0,misinformation
"""More mortality associated with the Covid-19 vaccine than the sum of all vaccines in the previous 31 years.""",misinformation,0,misinformation
“60% of people being admitted to hospital with COVID-19 in England have had two doses of a coronavirus vaccine”,misinformation,0,misinformation
"More than half of myocarditis cases caused by COVID-19 vaccines occur in those aged between 12 and 34, yet this age group has a COVID-19 recovery rate of 99.99%",misinformation,0,misinformation
"Prolonged use of the mask may cause hypoxia, oxygen deficiency, fatigue, and decreased reflexes",misinformation,0,misinformation
Man Dies of Heart Attack After Receiving Covid-19 Vaccine,misinformation,0,misinformation
"""Good news! Corona virus vaccine ready. Capable of curing patient 3 hours after injection. Hats off to US scientists. At the moment, Trump has announced that Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready!""",misinformation,0,misinformation
The first coronavirus patient in the Community of Madrid confirmed at the Puerta de Hierro Majadahonda Hospital,misinformation,0,misinformation
Sweden did not have excess mortality in 2020,misinformation,0,misinformation
"""Cough with blood, swollen eyes, fatigue, cough with thick phlegm, chills, headache, diarrhea, stuffy nose, nausea, joint pain, shortness of breath, fever are the main symptoms of Covid-19""",misinformation,0,misinformation
"""The Washton Post confirms the origin of coronavirus patient zero: he was an employee of the famous virology laboratory in the Chinese city of Wuhan.""",misinformation,0,misinformation
"The corona virus has now become extremely dangerous. Kills anyone, regardless of age, without symptoms in three days - World Health Organization",misinformation,0,misinformation
"Clearly, Trump had an oxygen device under his suit yesterday, when he showed up walking to the helicopter to the hospital. Then he got #COVID19",misinformation,0,misinformation
The claim that coronavirus was detected in Ataşehir Fatih Sultan Mehmet Hospital,misinformation,0,misinformation
"The CDC ""quietly updated"" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.",misinformation,0,misinformation
"""Amadora Sintra Hospital without oxygen... All patients are being transferred to Santa Maria hospital""",misinformation,0,misinformation
Coronaviruses have caused 30% of all colds for decades. Influenza and Tuberculosis have a high contamination rate and are potentially more lethal than Sars-Cov-2. Cancer and cardiovascular disease together kill nearly 30 million annually worldwide. When do we take similar measures?,misinformation,0,misinformation
"“The first clinical trial on remdesivir, an experimental medication by the company Gilead Sciences, which has been seen as one of the promising and most successful medications in treating coronavirus, proved a failure.”",misinformation,0,misinformation
"I am opposed to raising the retirement age [in Russia]. As long as I am president, no such decision will be made. Altogether, I believe that there is no need in our country to raise the retirement age. We can and need to boost the economy and the interest of people to continue working but without infringing on their rights to retirement. I will say this again: I am against raising the retirement age.",misinformation,0,misinformation
"“A German university says that [masks] are harmful to children, and show several aspects like irritability, headache, difficulty concentrating, decreased perception of happiness, refusal to go to school or daycare, discouragement, impaired learning ability, dizziness, fatigue.”",misinformation,0,misinformation
Pfizer's vaccine increased the mortality rate of young people with covid-19 in Israel by 260 times,misinformation,0,misinformation
Picture of the throat of a patient infected with coronavirus,misinformation,0,misinformation
US regulatory agency warned that covid-19 vaccines could cause heart attack,misinformation,0,misinformation
"The use of the corona vaccine from the company Biontech and its US partner Pfizer began in several countries after its approval. Claims are now circulating about its side effects. An article says: ""According to media reports, at least six people died during the test runs."" (archived here) It is also claimed: ""Up to 84 percent of those vaccinated reported numerous side effects such as fatigue, headache, muscle or joint pain, as well as chills or fever during the test run."" In many vaccinated people, the lymph nodes were swollen.",misinformation,0,misinformation
"Tiffany Dover passed away on December 19 deceived by her government, her hospital managers, the media and the pharmaceutical company Pfizer… than her sacrifice in the nurse who saved the most lives. No to the vaccine that kills!",misinformation,0,misinformation
