claim,claim_en,verdict,train_mask,val_mask,test_mask
วิดีโอประชาชนมาเลเซียแห่ซื้อของช่วงโควิด-19 ระบาด?,Video of Malaysian people flocking to buy things during the Covid-19 outbreak?,misinformation,True,False,False
Photo shows Myanmar military helicopter shot down by rebels,Photo shows Myanmar military helicopter shot down by rebels,misinformation,False,False,True
เฮลิคอปเตอร์กองทัพรัฐ​เมียนมาร์ถูกกบฎ KIA ยิงตก ในเดือนพฤษภาคม 2564?,A Myanmar State Army helicopter shot down by KIA rebels in May 2021?,misinformation,False,False,True
Video shows military helicopter shot down by rebels in Myanmar in May 2021,Video shows military helicopter shot down by rebels in Myanmar in May 2021,misinformation,False,False,True
'ฮ.พม่า'โดนสอยร่วงในรัฐคะฉิ่น นักบิน-ผู้โดยสารเสียชีวิต?,'Myanmar helicopter' was taken down in Kachin state The pilot and the passenger died?,misinformation,False,False,True
Multiple claims about a potential COVID-19 vaccine.,Multiple claims about a potential COVID-19 vaccine.,misinformation,True,False,False
"При введении вакцины от COVID-19 в организм человека введут еще и микрочипы (нано-чипы), далее в дело вступят сети 5G, через которые мировая элита будет посылать разнообразные сигналы в чипы, тем самым управляя человечеством.","With the introduction of the vaccine against COVID-19, microchips (nano-chips) will also be introduced into the human body, then 5G networks will come into play, through which the world elite will send various signals to the chips, thereby controlling humanity.",misinformation,True,False,False
La vacuna de AstraZeneca contra la COVID-19 se creó en 2018,The AstraZeneca vaccine against COVID-19 was created in 2018,misinformation,True,False,False
Bill Gates and Robert F Kennedy Jr have warned that COVID-19 vaccine can change a persons DNA.,Bill Gates and Robert F Kennedy Jr have warned that COVID-19 vaccine can change a persons DNA.,misinformation,True,False,False
"Em vídeo, a jornalista Karina Michelin afirma que a vacina contra a Covid-19 causa alterações genéticas e é feita com DNA de fetos","In a video, journalist Karina Michelin states that the Covid-19 vaccine causes genetic alterations and is made with fetal DNA",misinformation,True,False,False
11.05.2021 После ковид 19 вакцина. Гледајте го детето. Ковид измама.,11.05.2021 After covid 19 vaccine. Watch the child. Covid fraud.,misinformation,True,False,False
Belçikalı bir doktor tarafından COVID-19’un tehlikesiz ve aşının etkisiz olduğu dile getirildiği iddiası,Claim by a Belgian doctor that COVID-19 is safe and the vaccine is ineffective,misinformation,True,False,False
Vaksin Covid-19 AstraZeneca Dibuat Sejak 2018,AstraZeneca's Covid-19 Vaccine Has Been Made Since 2018,misinformation,True,False,False
"COVID-19 vaccines can cause serious harm by spreading ""toxic"" spike proteins into a recipient’s bloodstream and internal organs.","COVID-19 vaccines can cause serious harm by spreading ""toxic"" spike proteins into a recipient’s bloodstream and internal organs.",misinformation,True,False,False
«I vaccini contro la Covid-19 scadranno il 20 ottobre»,"""The vaccines against Covid-19 will expire on October 20""",misinformation,True,False,False
Viral video claiming Covid-19 vaccine contains microchip,Viral video claiming Covid-19 vaccine contains microchip,misinformation,True,False,False
AstraZeneca’nın Covid-19 aşısını 2018’de ürettiği iddiası,The claim that AstraZeneca produced the Covid-19 vaccine in 2018,misinformation,True,False,False
Pandemia de covid-19 é um plano de controle populacional intitulado “certificado de identificação de vacinação com inteligência artificial”,Covid-19 pandemic is a population control plan titled “Actificial Intelligence Vaccination Identification Certificate”,misinformation,True,False,False
“Bill Gates explains that the COVID vaccine will use experimental technology and permanently alter your DNA”,“Bill Gates explains that the COVID vaccine will use experimental technology and permanently alter your DNA”,misinformation,True,False,False
