claim,claim_en,verdict,train_mask,val_mask,test_mask,health_word
How many who have no other morbidities under the age of 60 have died from this Covid-19? 350,How many who have no other morbidities under the age of 60 have died from this Covid-19? 350,misinformation,True,False,False,age
अमेरिका के सेंट ल्यूक हॉस्पिटल ने कहा है कि एल्कोहल के इस्तेमाल से कोरोना वायरस के खतरे को कम किया जा सकता है.,Luke's Hospital of America has said that the use of alcohol can reduce the risk of corona virus.,misinformation,True,False,False,hospital
"Coronavirus vaccine is ready, able to cure a patient within 3 hours","Coronavirus vaccine is ready, able to cure a patient within 3 hours",misinformation,True,False,False,patient
“Corona virus sudah ada di RS. Bhayangkara Indramayu”,"""Coronavirus is already in the hospital. Bhayangkara Indramayu""",misinformation,True,False,False,hospital
วิธีการรักษาโรคโควิด-19 แนะนำโดยคณบดีของโรงพยาบาลศิริราช?,How to treat COVID-19 Recommended by the Dean of Siriraj Hospital?,misinformation,True,False,False,hospital
"Fake coronavirus claims are all over the internet. Below we correct a few claims about the virus origin, diagnosis, prevention and cures.","Fake coronavirus claims are all over the internet. Below we correct a few claims about the virus origin, diagnosis, prevention and cures.",misinformation,True,False,False,diagnosis
คนไข้ใหม่ที่ติดเชื้อโควิด-19 ในประเทศจีน ไม่มีใครเสียชีวิตอีก และผู้ป่วยอยู่ในบ้านไม่ต้องไปหาหมอ?,No new patient infected with COVID-19 in China has died. And the patient stays at home without going to the doctor?,misinformation,True,False,False,patient
แพทย์ไทยใช้ยาผสมสามารถ “รักษา” ผู้ป่วยโควิดให้ “หาย” ได้ในเวลา 48 ชั่วโมง,"Thai doctors use a combination drug to ""cure"" a patient with coronavirus in 48 hours.",misinformation,True,False,False,patient
JJ Hospital in Mumbai is giving Covid-19 vaccine to everybody above the age of 45,JJ Hospital in Mumbai is giving Covid-19 vaccine to everybody above the age of 45,misinformation,True,False,False,"hospital, age"
วัคซีนโควิดตอนนี้เปิดทั่วไปตั้งแต่อายุ 19-59 ปี ฟรี 11 รพ. ในกทม. ในเดือนมีนาคม 2564,The Covid vaccine is now open to the general public from the age of 19-59. Free at 11 hospitals in Bangkok in March 2021,misinformation,True,False,False,age
Les vaccins contre le Covid-19 sont responsables d'une augmentation de la mortalité,Covid-19 vaccines are responsible for increased mortality,misinformation,True,False,False,mortality
"Trotz der hohen Sicherheitsstandards sorgen sich einige Menschen mit Beginn der Impfungen gegen Covid-19 vor möglichen Nebenwirkungen. In sozialen Medien verbreiten sich derzeit Meldungen, die Nebenwirkungen oder gar Impfschäden angeblich belegen. In einem Facebook-Video (hier archiviert) ist ein Mann in hellblauem T-Shirt zu sehen, der offenbar in einem Krankenhausbett liegt und krampft. «33-jähriger Krankenpfleger bei bester Gesundheit, der sich für die Corona-#Impfung (RNA-Genspritze) entschieden hat, entwickelt eine schwere Reaktion», heißt es in der Beschreibung zum Video.","Despite the high safety standards, some people worry about possible side effects when they start vaccinating against Covid-19. Reports are currently spreading on social media that allegedly prove side effects or even vaccine damage. A Facebook video (archived here) shows a man in a light blue T-shirt who is apparently lying in a hospital bed and is convulsing. ""A 33-year-old male nurse who is in excellent health and who has opted for the corona vaccination (RNA gene injection) develops a severe reaction,"" says the description of the video.",misinformation,True,False,False,hospital
"""Mais mortalidade associada à vacina da Covid-19 do que o somatório de todas as vacinas nos 31 anos anteriores"".","""More mortality associated with the Covid-19 vaccine than the sum of all vaccines in the previous 31 years.""",misinformation,True,False,False,mortality
“60% of people being admitted to hospital with COVID-19 in England have had two doses of a coronavirus vaccine”,“60% of people being admitted to hospital with COVID-19 in England have had two doses of a coronavirus vaccine”,misinformation,True,False,False,hospital
